bes,besedilo
múzika,"múzika -e ž (ú) \n1. umetnost, katere izrazno sredstvo je zvok; glasba: gojiti, študirati muziko; za muziko je zelo dovzetna / igrajo samo jazzovsko muziko; lahka, resna, zabavna muzika; operna, plesna muzika\n // glasbeno delo: komponira slabo muziko; poznavanje naše muzike v tujini\n2. igranje (na glasbila): po proslavi bo muzika in ples; muzika utihne; iz vasi je slišati glasno, hrupno muziko\n // izvajanje glasbenih del: rad posluša moderno muziko / muzika za ples; pren., pesn. muzika dežja, stroja\n3. pog. skupina ljudi, ki igra na glasbila; godba: muzika je zaigrala koračnico; najeti muziko / kot vojak je bil pri muziki\n4. knjiž., ekspr. blagoglasnost, melodičnost: muzika jezika, stavka; pren. muzika slike\n● pog., ekspr. to je pa druga muzika stvar je drugačna, kakor je kazalo; ekspr. dosti imam te muzike naveličan sem tega ravnanja, stanja, odveč mi je; slabš. narediti komu mačjo muziko dražiti, jeziti koga s škripajočim, cvilečim igranjem; pog., ekspr. ko jim bo zmanjkalo denarja, bo konec muzike ne bodo več delali, počeli tega; preg. za malo denarja malo muzike za majhno plačilo se malo dobi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
napolníti,"napolníti in napólniti -im [u̯n] dov. (ī ọ́) \n1. dati v kaj v tolikšni meri, da postane polno: napolniti košaro z jabolki; napolniti sode z vinom, steklenico z vodo; s plinom napolniti; s silo napolniti kaj / napolnil si je pipo in kadil\n // narediti, da pride kaj kam: vsak teden napolni vaze s cvetjem / ekspr. v hribih si je napolnil pljuča s svežim zrakom / napolniti program s kvalitetnimi deli / napolniti orožje z naboji nabiti\n2. povzročiti, da postane kak kraj, prostor poln, zaseden: študentje so napolnili predavalnico; množica je napolnila trg\n3. nav. ekspr. pojaviti se kje v veliki meri, z veliko intenzivnostjo: sobo je napolnil oster krik; prostor je napolnila močna svetloba\n // z oslabljenim pomenom izraža stanje, kot ga določa osebek: dvorano je napolnil molk; hrup je napolnil vse mesto / pesn. srce ji je napolnila žalost\n● ekspr. afera je napolnila stolpce časopisov veliko so pisali o njej; ekspr. dvorano so napolnili do zadnjega kotička popolnoma, čisto; ekspr. lica so se mu napolnila postala so okrogla; zredil se je; ekspr. pošteno si je napolnil želodec zelo se je najedel\n♦ elektr. napolniti akumulator, baterijo narediti, da pride v akumulator, baterijo toliko električne energije, kolikor je lahko sprejme; napolniti kondenzator narediti, da pride v kondenzator toliko elektrine, kolikor je lahko sprejme\nnapolníti se in napólniti se postati poln: zaradi deževja so se struge napolnile do vrha / soba se je v trenutku napolnila / ekspr. oči so se ji napolnile s solzami; pren., ekspr. mera trpljenja se je napolnila\nnapólnjen -a -o: s plinom napolnjen balon; napolnjena dvorana; do polovice napolnjena vreča\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nasmíhati se,"nasmíhati se -am se nedov. (ī ȋ) z manj poudarjenim izrazom obraza, navadno z le rahlo raztegnjenimi ustnicami, kazati zlasti veselje, radost: nasmihata se drug drugemu; ljubeznivo, skrivnostno se nasmiha; ob tej misli se je veselo nasmihal / njene ustnice so se nasmihale; ekspr. rahlo se je nasmihal v duši; pesn.: njive in gaji so se nasmihali; izza oblakov se mu nasmiha sonce\n // ekspr. posmehovati se: mi se nasmihamo vam, drugi se bodo pa nam; nasmiha se njeni govorici, zadregi \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
natékati se,"natékati se -am se nedov. (ẹ̑) \n1. prihajati kam, pojavljati se kje v določeni količini: v strugo se nateka vsa voda s pogorja / kri se je natekala v lužo / ekspr. od kod se ti nateka toliko denarja; na trg se natekajo ljudje; pren., pesn. v sobo se je natekal mrak\n2. dov. s tekanjem zadovoljiti svojo potrebo, željo po gibanju: na travniku so se otroci natekali in nakričali\nnatékati brezoseb., nar. vzhodno zamakati, puščati: na več krajih nateka / v osebni rabi streha spet nateka\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nègíben,"nègíben -bna -o prid. (ȅ-í ȅ-ī) ki se ne giblje, ne premika: biti, ležati, postati negiben; stal je negiben kot kip / negiben izraz, obraz / negibna soparica nad vasjo; negibno morje\n // ki se ne more gibati, premikati: negiben bolnik / negibni prsti negibljivi\n● pesn. negibna noč tiha, mirna; knjiž. negibna usoda nespremenljiva; knjiž. v naše negibno življenje je prinašal razvedrilo enolično, monotono\nnègíbno prisl.: negibno ležati, stati; negibno strmeti v kaj\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ném,"ném -a -o prid. (ẹ̑ ẹ́) \n1. ki ni sposoben oblikovati besed, stavkov z govorilnimi organi: nem človek; je gluh in nem / ekspr. še nemi črv zna izraziti bolečino\n // ekspr. ki molči, ne govori: nemi, a ne brezčutni gledalci; nem ga je poslušal; nema in bleda je hodila po hiši; spraševali so ga, a ostal je nem kot riba / nem se je bojeval z usodo; pren. nemi čas; nemi grobovi\n // knjiž., ekspr. ki se ne oglaša: ptice v vejah so še neme / nemi gozdovi; reka se vije nema / nema tema / pesn. nemi molk popoln\n2. ki ni izražen z besedami: razumel je nemi odgovor; odgovoriti na nemi pozdrav; opazovati nemo sporazumevanje\n // ki ga ne spremlja govorjenje, besedilo: izraziti čustva z nemo igro; nemo srečanje / nemi film film brez dialogov, glasbe in šumov; junaki nemega filma\n3. ekspr. ki se ne izraža glasno: v nemem obupu je vila roke; nema bolečina, groza, žalost\n // neslišen, tih: nem smeh\n● nema abeceda abeceda, pri kateri se črke oblikujejo s prsti; prstna abeceda; biti nema priča česa biti navzoč pri kakem dogajanju, ne da bi sodeloval\n♦ adm. nemi znak stenografski znak, ki se ne izgovarja; ekon. nema zamenjava blaga pri primitivnih ljudstvih zamenjava, pri kateri ljudje ne pridejo v neposreden stik; geogr. nema karta karta brez napisov; lingv. nema črka črka, ki se ne izgovarja; lov. nemi pes pes, ki pri iskanju, gonjenju divjadi ne laja; muz. nema klaviatura priprava za urjenje v igranju na klavir; num. nemi novec novec brez napisa; zool. nemi labod labod s črno izboklino na korenu oranžno rumenega kljuna, Cygnus olor\nnémo prisl.: nemo je gledala za njim; nemo je opravljal vsak svoje delo; nemo uživati razgled\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nemíren,"nemíren -rna -o prid., nemírnejši (í ī) \n1. ki čuti, kaže notranjo napetost, vznemirjenje: ko je čakal sina, je postajal čedalje bolj nemiren / z nemirnimi koraki je hodil po sobi / nemirna vest mu ne da spati\n2. notranje neubran, neurejen: nemirni mladi ljudje / nemiren duh / imeti begajoče, nemirne oči\n● ekspr. človek nemirne krvi nestalen, neuravnovešen\n3. ki ne miruje, ni pri miru: razigrani, nemirni otroci; nemiren je kot živo srebro / bolnik je zdaj nekaj dni precej nemiren\n // ki s svojim vedenjem, ravnanjem povzroča hrup, nered: nedisciplinirani in nemirni gostje; glasna, nemirna družba\n4. ki se neprenehoma giblje, premika: nemirno morje, ozračje / pesn. nemirne zvezde\n // ki ne poteka brez motenj: nemirno spanje\n5. ki je poln vznemirljivih, razburljivih dogodkov: nemirni časi / ima težko, nemirno življenje\nnemírno prisl.: srce mu nemirno bije; nemirno je pogledoval proti vratom; nemirno se prestopati; nemirno spati\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nènasíten,"nènasíten -tna -o prid. (ȅ-í ȅ-ī) \n1. ki ni nasiten: nenasitna jed\n2. nav. ekspr. ki se ne da nasititi: ko so se otroci vrnili z izleta, so bili nenasitni / nenasiten želodec; pren., pesn. nenasitno žrelo grobov\n● ekspr. vse mu gre v nenasitni golt zelo je lakomen, požrešen; ekspr. vse gre v njegovo nenasitno malho vse vzame on\n3. ekspr. lakomen, pohlepen: grabežljivi, nenasitni trgovci / opazila je njegov nenasitni pogled\n4. ekspr. ki se pojavlja v zelo visoki stopnji, v močni obliki: nenasitna radovednost; nenasitna strast do branja\nnènasítno prisl.: nenasitno radoveden človek\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nêsti,"nêsti nêsem nedov., tudi nesó; nésel nêsla (é) \n1. držati kaj navadno težjega tako, da prehaja vsa teža na osebek, in hoditi: nesti kovček; nesti naročje drv; nesti zastavo na čelu sprevoda; ker otrok ni mogel hoditi, ga je oče nesel; nesti na glavi, hrbtu; nesti na nosilih, v košu; daleč, hitro, težko nesti / lisica je nesla v gobcu kokoš\n // dov. in nedov. tako držati kaj in iti kam z določenim namenom: nesi jim malico; nesi mu podpisat; nesti otroka k zdravniku; nesti na trg; nesti aparat v popravilo; pog. nesti denar na banko v banko\n // pog. knjigo moraš nesti nazaj vrniti\n2. navadno s prislovnim določilom povzročati\na) da se kaj premika zlasti po vodi, zraku: tok ga je nesel v vrtinec; valovi so nesli čoln proti skalam; veter nese pesek tudi po več sto kilometrov daleč; ekspr. množica ga je kar nesla po trgu; pesn. kam te, lastovka, nesejo peruti kam letiš\n // knjiž. veter je nesel glasove po gozdu\nb) da kaj prihaja kam: veter jim je nesel prah v oči; brezoseb. vso pot ji je neslo dež v obraz / ekspr. letalo jih je neslo v domovino\n3. nav. ekspr. iti h komu z namenom\na) povedati mu kaj: nesem mu veselo novico, da se je vrnil sin; nesti komu sporočilo / nesi mu pozdrave\nb) dati mu kaj: dala mu je poljub in mu rekla, naj ga nese sinu / vznes. partizani nesejo prostost še neosvobojenim bratom\n4. ekspr., s prislovnim določilom povzročati, da kdo kam gre: sama kljubovalnost ga je nesla v takem vremenu v planine; nemir ga je nesel v svet; le kaj ga nese k sosedu / brezoseb.: že večkrat ga je neslo v tujino; kam te je pa neslo tako hitro kam si šel, hitel\n5. dov. in nedov., s prislovnim določilom narediti, da pride kaj na določeno mesto: nesti kozarec k ustom; nesti žlico v usta; nesti si tobak pod nos / knjiž. nesla si je roke pred oči in zajokala\n6. s prislovnim določilom, s širokim pomenskim obsegom izraža, da je delovanje česa tako, kot nakazuje določilo: puška, top nese daleč, previsoko / njegov daljnogled malo nese / žarg., šport. ta skakalnica dobro nese omogoča dolge, varne skoke\n7. pog., navadno s prislovnim določilom biti boljši, sposobnejši: kot govornik nese vsakega advokata; pri delu nese vsakogar / ni več mlada, vendar nese vsako dekle je lepša, privlačnejša\n // Kolumba so za pet stoletij nesli Vikingi prehiteli\n8. pog. dajati, prinašati korist: gostilna, obrt dobro nese; brezoseb. ni mu dovolj neslo, pa je pustil / to nese lepe dobičke\n9. pri perutnini izločati jajca: jarčke so začele nesti / nesti debela jajca\n● redko leseni most bo težko nesel tako težo vzdržal; ekspr. moral je popustiti, sicer bi ga nasprotniki nesli premagali; spravili v neugoden, slab položaj; noge nesejo ekspr. noge ga več ne nesejo ne more več hoditi; ekspr. naj gre, kamor ga noge nesejo kamor hoče; ekspr. šel je, kamor so ga noge nesle brez naprej določenega cilja; ekspr. teci, kolikor te noge nesejo kolikor hitro moreš; ekspr. kamor oči nesejo, so sama polja vse naokrog; star. pesmi bodo nesle tvojo lepoto po deželi razširjale, razglašale; jahali so, kot bi jih nesel veter zelo hitro; ekspr. to te bo neslo ne boš uspel; ne boš utegnil opraviti dela; pog., ekspr. spet neseš glavo, kožo naprodaj se izpostavljaš smrtnim nevarnostim; pog., ekspr. slišal je kričanje, pa je nesel nos k oknu je pogledal skozi okno; ekspr. problem sem nesel s seboj na počitnice mislil sem nanj tudi na počitnicah; žarg., šport. nesti tekmece za šest točk premagati s šestimi točkami; pog. lepo doto je nesla od hiše dobila; vznes. jutri ga bodo nesli k večnemu počitku ga bodo pokopali; ekspr. nesti komu kaj na nos povedati, kar se ne bi smelo; vznes. skrivnost je nesel s seboj v grob nikomur je ni povedal; pog. kar sliši, nese naprej pove drugim; ovadi; pog. če ga bo celo noč tako neslo, nas bo do jutra zametlo če bo tako snežilo; pog., ekspr. dosti ga nese spiti more mnogo alkoholne pijače, ne da bi se upijanil; ekspr. pojdi že, bog te nesi izraža nejevoljo, nestrpnost\nnêsti se s prislovnim določilom \n1. ekspr. ponosno, samozavestno iti, stopati: glej ga, kako se nese; vzravnano se je nesla mimo fantov / konja sta se mogočno nesla skozi vas\n2. knjiž. premikati se, gibati se: balončki so se nesli čez mesto; po nebu se nese temen oblak / le kam se nese jata vran leti; ladja se nese na odprto morje plove, plava\n // širiti se, razširjati se: glasovi so se nesli čez reko; vonj akacij se nese po ravnini / žalostna novica se je nesla po vsej deželi / to je njegova mati, se je neslo od ust do ust\nnesóč -a -e: zadel se je v natakarico, nesočo dva vrčka piva\nnesèn tudi nešèn -êna -o: odložiti neseno stvar; z vetrom neseno listje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nèvesél,"nèvesél -a -o [eu̯] prid. (ȅ-ẹ̑) \n1. ki mu manjka veselosti, dobre volje: mrk, nevesel človek je / pesn. neveselo srce; neveselo življenje / knjiž., ekspr. ko je izgubil mater, je postajal vedno bolj nevesel žalosten, potrt\n // ki ne vsebuje, izraža veselja, zadovoljstva: nevesel nasmeh; nevesela pesem\n // knjiž., ekspr. ki ne povzroča veselja, zadovoljstva: nevesel dogodek; nevesela novica\n● opisovati kaj v neveselih barvah negativno\n2. evfem. slab, nezadovoljiv: biti v neveselem položaju\nnèvesélo prisl.: neveselo se smejati; neveselo razpoložen\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nóč,"nóč -í ž (ọ̑) \n1. čas teme od sončnega zahoda do vzhoda, ant. dan: kar mirno spi, saj je še noč; noč se bliža, mineva; noč se dela noči se; knjiž. noč lega, pada, se spušča (na zemljo) noči se; star. storila se je noč znočilo se je; kar tu bomo počakali noči da se znoči; prebedeti, prespati noč; ekspr. krik je pretrgal noč; pesn. črna noč; dolga, mesečna, temna, tiha, zvezdna noč; ekspr. gluha, trd(n)a noč; majska, zimska noč; noči so že hladne; ekspr. v varstvu noči so se umaknili / ekspr. groza, molk noči / kresna noč med 23. in 24. junijem; noč od nedelje na ponedeljek; noč med prvim in drugim majem; noč pred praznikom / imeti mirno, ekspr. sladko, strašno noč; kot noč pa dan sta zelo različna; neumen kot noč / neke noči je skrivaj odpotoval; celo noč se je premetaval na postelji; to noč bomo lahko zbežali nocoj; delal je do noči; prebudil se je sredi noči; čez noč je zapadel sneg; vrnil se je na noč ko se je znočilo, pod noč ko se je nočilo; za noč si je pripravila čaj za ponoči; nar. vzhodno po nočeh je prihajal do hiše ponoči, v nočeh; star. v noči ni mogel spati ponoči; vrni se še pred nočjo; z nočjo je zapihal veter ko se je znočilo; noč za nočjo prihaja k njej; star. bilo je še pozno v noč ponoči; pogovarjali so se dolgo, pozno v noč; zgodilo se je v noči od petka na soboto / knjiž., ekspr.: iz noči se je pokazala samotna kmetija; vlak drvi skozi noč; pazljivo je poslušal v noč / kot pozdrav lahko noč! / poljub za lahko noč\n2. ekspr. stanje, ko se preprečuje svoboda, napredek, kritično mišljenje: s temi dejanji je Evropa vse bolj tonila v noč; naša tisočletna noč je minila / noč fašizma, nasilja\n // knjiž. duševno stanje nerazsodnosti, obupa: nad dušo se zgrinja noč / spomin na sina je edini žarek v noči njene blaznosti / v njegovih očeh je noč\n● noč ga je dohitela, ekspr. ujela sredi poti znočilo se je, preden je prišel do določenega kraja, cilja; pesn. noč je razpela svoja krila znočilo se je; pog., ekspr. noč ga je vzela ponoči je skrivaj odšel; evfem. kdor se je upiral, ga je vzela noč so ga ponoči skrivaj odpeljali, zaprli, ubili; ekspr. noč in dan dela kar naprej, neprenehoma; ekspr. ob osmih zjutraj, kar je zame sredi noči, me je zbudil telefon ko najbolj trdno, globoko spim; pog. imeti koga čez noč prenočiti; ekspr. čez noč je zaslovel naenkrat, nepričakovano; pog. otrok je zamenjal dan za noč spi podnevi, ponoči je buden; knjiž. to so bile njene bele noči brez spanja; božična ali sveta noč v krščanstvu pred božičem; ekspr. kraj, kjer ti lisica lahko noč vošči samoten, odmaknjen kraj, zlasti blizu gozda; publ. najdaljša noč med 31. decembrom in 1. januarjem; poročna noč prva noč po poroki; velika noč v krščanstvu praznik Kristusovega vstajenja; knjiž. omamljala ga je noč njenih oči temna barva; evfem. hčere, prijateljice noči vlačuge, prostitutke; noč ima svojo moč ponoči človek ravna, se vede manj razumno, razsodno, zlasti glede ljubezni, spolnosti; preg. nikdar ni noč tako dolga, da bi za njo ne prišel dan vsak neprijeten, težek položaj mine, se izboljša\n♦ bot. kraljica noči kaktus z velikimi belimi cveti, ki vzcvetejo in odcvetejo v eni noči, Selenicereus grandiflorus; geogr. bele noči kratke, svetle noči v visokih zemljepisnih širinah; polarna noč doba, ko sonce na polarnem področju ne vzide; tur. beneška noč nočna prireditev na vodi, navadno z ognjemetom; zgod. šentjernejska noč noč pred 24. avgustom leta 1572, ko je bilo v Franciji pobitih več tisoč hugenotov; pravica prve noči v fevdalizmu domnevna pravica zemljiškega gospoda, da preživi z nevesto svojega podložnika njeno poročno noč; prim. podnoč\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
nôsen,"nôsen -sna -o prid. (ó ō) \n1. raba peša, navadno v ženskem spolu ki ima v telesu plod; noseč: nosna ženska; bila je že tretji mesec nosna / nosna je s sosedom\n2. knjiž., ekspr. obilen, nabrekel: nosni oblaki\n3. knjiž. nosilen: nosni steber\n● pesn. nosno zrno nabreklo, kaleče\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
obòk,"obòk tudi obók -óka m (ȍ ọ́; ọ̑) izbočena nosilna konstrukcija nad prostorom, odprtino v zidu: delati obok; zidati oboke; stati pod obokom; sajast, zakajen obok; obok cerkve, hodnika; obok nad vrati; prečni lok v oboku; oboki in kupole / baročni obok; opečni obok; polkrožni, šilasti obok\n // prostor pod tako konstrukcijo: visoki obok je bil poln mesa\n // navadno s prilastkom kar je po obliki temu podobno: veje dreves delajo zelen obok nad potjo; obok lobanje; pred dežjem se je zatekel pod obok skale / nadočesni obok; nebesni obok nebo; pesn. osvajalec zvezdnega oboka neba, vsemirja\n♦ anat. nožni obok srednji vbočeni del stopala; arhit. banjasti obok polkrožni obok nad četverokotno talno ploskvijo; križni obok ki ga tvorita pravokotno ležeča banjasta oboka na svojem sečišču; kupolasti obok v obliki kupole; mrežasti obok rebrasti obok v obliki križa; rebrasti obok s kamnitimi rebri; zvezdasti obok rebrasti obok v obliki zvezde; um. gotski obok \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
odéja,"odéja -e ž (ẹ̑) \n1. tekstilni izdelek za odevanje, pokrivanje: kupiti dve odeji; zaviti se v debelo odejo; odevati, pokrivati se z eno odejo; raztrgana, tanka odeja / električna odeja z električnim gretjem; konjska odeja debelejši, manj kakovosten tekstilni izdelek za pokrivanje konj; prešita odeja polnjena z volno, bombažem in navzkriž prešita; (volnena) odeja debelejši tekstilni izdelek za odevanje, pokrivanje; prevleke za prešite odeje; pren., pesn. noč je razgrinjala temno odejo čez polje\n● ekspr. iti pod odejo spat; ekspr. tega ne bomo imeli, ker je odeja prekratka je premalo denarja za nakup\n // ed. več takih izdelkov, taki izdelki: nabaviti odejo in drugo posteljnino; zračenje odeje; imeti dovolj odeje\n2. knjiž., s prilastkom plast, ki kaj pokriva: polje je ležalo globoko pod blatno odejo; ledena odeja pokriva jezero; snežna odeja / bela odeja sneg\n♦ bot. rastlinska odeja vse rastline, ki rastejo na določenem področju; geol. krovna odeja skladi, ki ležijo na podlagi\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
odposlánec,"odposlánec -nca m (á) kdor je izbran in poslan kam s posebno nalogo: sprejeti odposlanca; državni, vladni odposlanec; odposlanec predsednika republike\n // kdor je izbran in pooblaščen za zastopanje določenih interesov; delegat: izvoliti odposlanca / Zbor odposlancev slovenskega naroda zbor izvoljenih slovenskih odposlancev od 1. do 3. oktobra 1943 v Kočevju, na katerem so bili izvoljeni začasni organi ljudske oblasti; pren., pesn. cvet, odposlanec lepote \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
